Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
time,org.joda.time.base,AbstractDateTime,300,0,25,23,0,0.92
time,org.joda.time.base,AbstractDuration,45,0,10,7,0,0.7
time,org.joda.time.base,AbstractInstant,406,0,29,21,0,0.724137931
time,org.joda.time.base,AbstractInterval,351,0,27,21,0,0.777777778
time,org.joda.time.base,AbstractPartial,210,0,21,5,0,0.238095238
time,org.joda.time.base,AbstractPeriod,91,0,14,7,0,0.5
time,org.joda.time.base,BaseDateTime,119,85,10,8,0.764705882,0.444444444
time,org.joda.time.base,BaseDuration,90,75,10,7,0.857142857,0.466666667
time,org.joda.time.base,BaseInterval,3,0,1,1,0.425,0
time,org.joda.time.base,BaseLocal,1,0,2,2,2,1
time,org.joda.time.base,BasePartial,69,18,6,5,0.688888889,0.3125
time,org.joda.time.base,BasePeriod,381,266,17,4,0.814516129,0.125
time,org.joda.time.base,BaseSingleFieldPeriod,150,147,16,7,0.980392157,0.388888889
time,org.joda.time.chrono,AssembledChronology,1065,954,6,4,0.963682432,0.081632653
time,org.joda.time.chrono,Fields,6,6,4,3,1,0.75
time,org.joda.time.chrono,BaseChronology,1225,0,50,18,1.020408163,0.36
time,org.joda.time.chrono,BasicChronology,1535,1530,52,15,0.997902098,0.196428571
time,org.joda.time.chrono,HalfdayField,6,0,4,4,1.333333333,1
time,org.joda.time.chrono,YearInfo,0,0,1,1,0,0
time,org.joda.time.chrono,BasicDayOfMonthDateTimeField,10,0,2,2,0.6,0.181818182
time,org.joda.time.chrono,BasicDayOfYearDateTimeField,10,0,2,2,0.6,0.181818182
time,org.joda.time.chrono,BasicFixedMonthChronology,105,0,15,13,0.892857143,0.4
time,org.joda.time.chrono,BasicGJChronology,36,0,9,8,1,0.777777778
time,org.joda.time.chrono,BasicMonthOfYearDateTimeField,76,0,5,3,0.776470588,0.111111111
time,org.joda.time.chrono,BasicSingleEraDateTimeField,114,108,13,13,0.8,0.625
time,org.joda.time.chrono,BasicWeekOfWeekyearDateTimeField,57,36,7,6,0.791666667,0.461538462
time,org.joda.time.chrono,BasicWeekyearDateTimeField,81,26,7,3,0.8125,0.176470588
time,org.joda.time.chrono,BasicYearDateTimeField,80,0,6,3,0.666666667,0.157894737
time,org.joda.time.chrono,BuddhistChronology,55,0,11,7,1.016666667,0.545454545
time,org.joda.time.chrono,CopticChronology,91,0,14,10,1.010989011,0.642857143
time,org.joda.time.chrono,EthiopicChronology,91,0,14,10,1.010989011,0.642857143
time,org.joda.time.chrono,GJCacheKey,0,0,1,1,0,0
time,org.joda.time.chrono,GJChronology,2304,1758,21,10,0.917037037,0.131578947
time,org.joda.time.chrono,CutoverField,314,33,7,4,0.785714286,0.114285714
time,org.joda.time.chrono,ImpreciseCutoverField,45,0,10,10,1.111111111,0.5
time,org.joda.time.chrono,LinkedDurationField,0,0,1,1,0.625,0
time,org.joda.time.chrono,GJDayOfWeekDateTimeField,49,43,8,8,0.9,0.727272727
time,org.joda.time.chrono,GJEraDateTimeField,121,106,12,8,0.875,0.470588235
time,org.joda.time.chrono,GJLocaleSymbols,236,219,7,2,0.954545455,0.086956522
time,org.joda.time.chrono,GJMonthOfYearDateTimeField,15,0,6,6,1.2,1
time,org.joda.time.chrono,GJYearOfEraDateTimeField,114,108,13,12,0.933333333,0.75
time,org.joda.time.chrono,GregorianChronology,136,0,17,12,0.984375,0.529411765
time,org.joda.time.chrono,IslamicChronology,611,592,28,15,0.977777778,0.194444444
time,org.joda.time.chrono,LeapYearPatternType,3,0,1,1,0.75,0
time,org.joda.time.chrono,ISOChronology,99,93,12,9,0.957142857,0.466666667
time,org.joda.time.chrono,Stub,0,0,1,1,0.666666667,0
time,org.joda.time.chrono,ISOYearOfEraDateTimeField,120,0,16,15,1.033333333,0.9375
time,org.joda.time.chrono,JulianChronology,171,0,19,13,0.984126984,0.526315789
time,org.joda.time.chrono,LenientChronology,36,36,9,6,1.0625,0.666666667
time,org.joda.time.chrono,LimitChronology,1418,1405,46,7,0.989708405,0.111111111
time,org.joda.time.chrono,LimitException,2,1,2,1,1,0
